timestamp,source,confidence,plate_text,plate_image
2026-09-22 21:26:46,video:20260922_212438_video.mp4,0.5684,Bl e4J,plate_20260922_212645_848308_2.jpg
2026-09-22 21:26:47,video:20260922_212438_video.mp4,0.5486,SUc 687 56,plate_20260922_212646_522486_3.jpg
2026-09-22 21:26:47,video:20260922_212438_video.mp4,0.4102,VUAE 128,plate_20260922_212647_150897_4.jpg
2026-09-22 21:26:48,video:20260922_212438_video.mp4,0.3620,,plate_20260922_212647_844971_5.jpg
2026-09-22 21:27:02,video:20260922_212438_video.mp4,0.6630,ziol,plate_20260922_212658_964797_0.jpg
2026-09-22 21:27:05,video:20260922_212438_video.mp4,0.5703,67756,plate_20260922_212702_534924_1.jpg
2026-09-22 21:27:09,video:20260922_212438_video.mp4,0.5601,Qlu Q0L1s,plate_20260922_212705_767558_2.jpg
2026-09-22 21:27:11,video:20260922_212438_video.mp4,0.3992,,plate_20260922_212709_177770_3.jpg
2026-09-22 21:27:15,video:20260922_212438_video.mp4,0.2998,,plate_20260922_212711_616435_4.jpg
2026-09-22 21:27:18,video:20260922_212438_video.mp4,0.2780,Jua 7028],plate_20260922_212715_577910_5.jpg
2026-09-22 21:27:35,video:20260922_212438_video.mp4,0.6802,2ioiz],plate_20260922_212732_236281_0.jpg
2026-09-22 21:27:37,video:20260922_212438_video.mp4,0.6085,687,plate_20260922_212735_057556_1.jpg
2026-09-22 21:27:40,video:20260922_212438_video.mp4,0.5930,Ya cun,plate_20260922_212737_884589_2.jpg
2026-09-22 21:27:43,video:20260922_212438_video.mp4,0.4324,30a 608,plate_20260922_212740_537184_3.jpg
2026-09-22 21:27:49,video:20260922_212438_video.mp4,0.6673,[5A2789,plate_20260922_212749_411760_0.jpg
2026-09-22 21:27:50,video:20260922_212438_video.mp4,0.5693,eigh,plate_20260922_212749_851108_1.jpg
2026-09-22 21:27:51,video:20260922_212438_video.mp4,0.5360,FjIt Cotq,plate_20260922_212750_454294_2.jpg
2026-09-22 21:27:52,video:20260922_212438_video.mp4,0.5324,294,plate_20260922_212751_158779_3.jpg
2026-09-22 21:27:55,video:20260922_212438_video.mp4,0.4874,,plate_20260922_212752_859973_4.jpg
2026-09-22 21:27:58,video:20260922_212438_video.mp4,0.2663,3Ua 18028,plate_20260922_212755_438649_5.jpg
2026-09-22 21:28:14,video:20260922_212438_video.mp4,0.6971,60198,plate_20260922_212810_794524_0.jpg
2026-09-22 21:28:16,video:20260922_212438_video.mp4,0.6424,"5290,58458",plate_20260922_212814_471550_1.jpg
2026-09-22 21:28:19,video:20260922_212438_video.mp4,0.6208,291 620,plate_20260922_212816_251422_2.jpg
2026-09-22 21:28:22,video:20260922_212438_video.mp4,0.5864,0,plate_20260922_212819_809920_3.jpg
2026-09-22 21:28:24,video:20260922_212438_video.mp4,0.5817,68,plate_20260922_212822_220244_4.jpg
2026-09-22 21:28:27,video:20260922_212438_video.mp4,0.5265,do53|,plate_20260922_212824_856114_5.jpg
2026-09-22 21:28:29,video:20260922_212438_video.mp4,0.5111,[Bk809,plate_20260922_212827_247580_6.jpg
2026-09-22 21:28:31,video:20260922_212438_video.mp4,0.5004,,plate_20260922_212829_040812_7.jpg
2026-09-22 21:28:33,video:20260922_212438_video.mp4,0.3437,6V,plate_20260922_212831_323981_8.jpg
2026-09-22 21:28:36,video:20260922_212438_video.mp4,0.2868,ISUAe '6028,plate_20260922_212833_865309_9.jpg
2026-09-22 21:28:51,video:20260922_212438_video.mp4,0.7311,30E 30336,plate_20260922_212848_634009_0.jpg
2026-09-22 21:28:53,video:20260922_212438_video.mp4,0.7188,Rib3,plate_20260922_212851_436952_1.jpg
2026-09-22 21:28:57,video:20260922_212438_video.mp4,0.6787,29 601,plate_20260922_212853_730175_2.jpg
2026-09-22 21:28:59,video:20260922_212438_video.mp4,0.6284,"290,58456",plate_20260922_212857_608673_3.jpg
2026-09-22 21:29:00,video:20260922_212438_video.mp4,0.6005,[Ek780,plate_20260922_212859_061087_4.jpg
2026-09-22 21:29:04,video:20260922_212438_video.mp4,0.5571,"6 2""",plate_20260922_212900_917908_5.jpg
2026-09-22 21:29:06,video:20260922_212438_video.mp4,0.5065,,plate_20260922_212904_561670_6.jpg
2026-09-22 21:29:09,video:20260922_212438_video.mp4,0.4403,687756,plate_20260922_212906_898159_7.jpg
2026-09-22 21:29:12,video:20260922_212438_video.mp4,0.4205,Js Co2,plate_20260922_212909_314825_8.jpg
2026-09-22 21:29:14,video:20260922_212438_video.mp4,0.2786,,plate_20260922_212912_121560_9.jpg
2026-09-22 21:29:29,video:20260922_212438_video.mp4,0.7141,29 60198,plate_20260922_212926_074759_0.jpg
2026-09-22 21:29:31,video:20260922_212438_video.mp4,0.6991,30E 30336,plate_20260922_212929_071936_1.jpg
2026-09-22 21:29:34,video:20260922_212438_video.mp4,0.6910,LYB 6io52,plate_20260922_212931_887430_2.jpg
2026-09-22 21:29:37,video:20260922_212438_video.mp4,0.6890,294 6203,plate_20260922_212934_203192_3.jpg
2026-09-22 21:29:38,video:20260922_212438_video.mp4,0.6477,"290,1584,56",plate_20260922_212937_255141_4.jpg
2026-09-22 21:29:40,video:20260922_212438_video.mp4,0.5595,IEXao9,plate_20260922_212938_746267_5.jpg
2026-09-22 21:29:42,video:20260922_212438_video.mp4,0.4762,68756,plate_20260922_212940_376473_6.jpg
2026-09-22 21:29:45,video:20260922_212438_video.mp4,0.4329,,plate_20260922_212942_872047_7.jpg
2026-09-22 21:29:47,video:20260922_212438_video.mp4,0.3948,,plate_20260922_212945_356369_8.jpg
